video,start_time,end_time,name
CAM_jury/HyperDeck_0014.MP4,2:49:10,2:52:52,080_jury
CAM_jury/HyperDeck_0014.MP4,2:58:28,3:02:15,082_jury
CAM_jury/HyperDeck_0014.MP4,3:09:32,3:20:00,084_jury_1
CAM_jury/HyperDeck_0015.MP4,0:00,0:22,084_jury_2
CAM_jury/HyperDeck_0015.MP4,0:33,5:12,085_jury
CAM_jury/HyperDeck_0015.MP4,11:28,16:53,087_088_091_092_jury_WU
CAM_jury/HyperDeck_0015.MP4,16:53,20:42,087_jury
CAM_jury/HyperDeck_0015.MP4,21:55,25:24,088_jury
CAM_jury/HyperDeck_0016.MP4,04:50,08:49,091_jury
CAM_jury/HyperDeck_0016.MP4,10:42,14:45,092_jury
CAM_jury/HyperDeck_0016.MP4,14:45,20:46,093_jury
CAM_jury/HyperDeck_0016.MP4,20:49,26:10,094_095_jury_WU
CAM_jury/HyperDeck_0016.MP4,26:10,30:04,094_jury
CAM_jury/HyperDeck_0016.MP4,30:04,35:07,095_jury
CAM_jury/HyperDeck_0016.MP4,39:23,44:35,099_jury
CAM_jury/HyperDeck_0016.MP4,1:16:35,1:22:14,105_107_jury_WU
CAM_jury/HyperDeck_0016.MP4,1:27:55,1:31:28,105_jury
CAM_jury/HyperDeck_0016.MP4,1:36:44,1:42:25,107_jury
CAM_jury/HyperDeck_0016.MP4,1:48:51,1:56:08,110_jury_WU
CAM_jury/HyperDeck_0016.MP4,1:56:08,2:00:08,110_jury
